Artist ID,"Artist",Certified Units,Gold,Platinum,Multi-Platinum,Diamond
4dd6f6958de61830ebf316d75cdbf99c,"THE BEATLES",183,48,42,26,6
9a985af435ee5174d2f3883aecf04be5,"GARTH BROOKS",157,31,31,17,9
72de4063a117bfdc4ea56cd7407d0375,"ELVIS PRESLEY",139,101,57,25,1
35f1d0d83ce31283098108caa454990e,"EAGLES",120,13,13,11,3
700c19b4be6fea62a79ef39655f0a14d,"LED ZEPPELIN",111.5,19,18,14,5
9bfebbed0b22902a5fab34008b7d191e,"MICHAEL JACKSON",85,15,13,9,2
9f65cfe852f0442cb21ccf62c01aebc8,"BILLY JOEL",84.5,18,17,13,2
d17503bdd0f51dc30a81bbb39513c798,"ELTON JOHN",79,38,28,14,1
6bec9271b231611cca7c917e9956f5b2,"AC/DC",75,22,20,12,1
fc67e03a76ac8264a728eeedf4a58f07,"PINK FLOYD",75,19,15,12,2
3cb3d9842ef98a026764b42cc9d3e2c0,"GEORGE STRAIT",69,39,33,13,0
f5bd61be906a12ade949c5c9d9e2a24a,"BARBRA STREISAND",68.5,51,30,12,0
515c1a68d61c2618587c8eeaf4d6fad0,"AEROSMITH",66.5,25,18,12,1
9df29e410197c49decf03442fd970b97,"MARIAH CAREY",66.5,16,13,10,2
cc16f0817c9c244b4e189931ea36ea4d,"THE ROLLING STONES",66.5,43,28,11,1
ea6771816ac1bf528c328ce4973b183a,"BRUCE SPRINGSTEEN",65.5,22,17,11,2
ac6e426cedf259981a2dd2cedcd7a6ac,"MADONNA",64.5,20,17,12,2
577583b6e54c4f50f24ace357afdacd4,"METALLICA",63,13,13,11,1
92d2df404ab3ccfee54484aa37b351bd,"WHITNEY HOUSTON",60,11,9,7,3
9d2f4f9ee970e1058fa78abbb78bca7b,"VAN HALEN",56.5,14,13,12,2
efad9b51733acf844b6f7b7f73415d78,"FLEETWOOD MAC",54.5,14,9,8,1
0363e8983614341d5c6aa324f31c7c3a,"CELINE DION",51,13,11,8,2
8bb339dac8ac537899b56dd87d944e64,"U2",51,16,16,11,1
6e34723de1828f4ceeb0f9284cee0ca7,"NEIL DIAMOND",49.5,40,21,12,0
d23066fb62b6b6fcc1f251fcc1c0f725,"JOURNEY",49,13,11,9,2
cc1725f562cb763bbe0a2e3a7fa3aef5,"KENNY G",48,15,11,8,1
c54971f1028db5b02d066e04e768a415,"SHANIA TWAIN",48,5,5,4,3
fea52d8f859559cfb1f927f34a6aaedc,"KENNY ROGERS",47.5,28,17,7,1
121b3a5845706dedbbdcce43f98e7409,"ALABAMA",46.5,23,20,10,0
02cdc28d117217585cdde7e3050e36a1,"EMINEM",46.5,12,9,8,2
d1e4efdc1af967b4859624325e79d42b,"TAYLOR SWIFT",46,9,9,7,1
79bd5935837e62dc5f87450e6298784e,"BOB SEGER & THE SILVER BULLET BAND",44.5,14,13,7,1
5c0e5592ebfd6a9b31c7f4c0ab2f62ba,"GUNS N' ROSES",44.5,8,7,5,1
a837577158103d0e5e98f3cdf878dcda,"ALAN JACKSON",43.5,18,15,8,0
5633a6914b55eff6f1b814d27b782e9d,"SANTANA",43.5,21,10,7,1
ac121b7e03602e0e611f973c8ff141ff,"QUEEN",43,20,12,8,0
7a483045bbee4be1c4d97b067535b5f6,"REBA MC ENTIRE",41,27,19,9,0
bfc39f0c6702ec3af4c0ce4e825eebdd,"ERIC CLAPTON",40,23,11,7,1
3f04c915a4829589c0c6f13507ed7c81,"CHICAGO",38.5,23,18,8,0
28a81d5291c305f7b0edbfbc114f6014,"SIMON & GARFUNKEL",38.5,12,11,7,1
8bf9132df05090d496fe02abdbbe6795,"FOREIGNER",38,11,9,7,0
27e21076b2af8fd4baf8cfd1fdb902d0,"ROD STEWART",38,27,19,10,0
2ce7d958e7f5d7a39781a731f5c7796d,"TIM MCGRAW",37.5,14,11,9,0
d0bdd091dd2b8f718c4ac20b1a2ce209,"BACKSTREET BOYS",37,5,5,3,2
86a7b2a83405ac26a7b56a20113b5d44,"2 PAC",36.5,10,9,6,2
342b2eafc3bc25f17e1dfc6e20f2d60c,"BOB DYLAN",36,33,15,6,0
2b2ec549c06e4051c07317844a550105,"DEF LEPPARD",35.5,11,8,5,2
844568ddc934dc55c643d094c8854634,"BON JOVI",34.5,14,11,5,1
89b39b3d4eb3208ad9897baa1d2570fb,"BRITNEY SPEARS",34.5,9,8,4,2
8b5162b3079cf73cdc41075f8c32ab75,"DAVE MATTHEWS BAND",34.5,17,14,7,0
4bfccce179d880c8ea39d999904be8a7,"JOHN DENVER",33.5,22,13,7,0
8c0fd8dca97877e79c3ef202fc835641,"PHIL COLLINS",33.5,10,7,6,1
f27e8141a69fa05e0ac42bd90b4e709f,"JAMES TAYLOR",33,20,14,5,1
249a0a3c6c7345d9eb2c92a5de007636,"THE CHICKS",33,5,5,4,2
fcbc0edf4e89c0e216d3060ffbf0bd16,"THE DOORS",33,20,14,5,1
0b8738fe6ef197d786fc2de1ca5b6ab9,"R. KELLY",32,11,9,6,0
b645d51d5340e3c43ef2f2db6e9ad7b3,"PEARL JAM",31.5,12,7,3,1
5eb6aa6aede080b25cf05fb1fade2e4e,"TOM PETTY & THE HEARTBREAKERS",31.5,15,8,5,1
dcb8a20bda139ffc09771b322fc37e34,"WILLIE NELSON",31.5,18,15,6,0
24f45d9c2bdb3bb379f21d2077591dae,"BOSTON",31,5,5,4,1
00172de7eba89b47b526ba72e15a91bc,"KENNY CHESNEY",30.5,20,15,5,0
b93e1b52868b0b03411de6a9572b8068,"LINDA RONSTADT",30,17,13,7,0
83f4aa0830b55c12816672581318f0ef,"OZZY OSBOURNE",29,14,12,9,0
f87f56a600ea856086aeb39e66c25e2d,"LINKIN PARK",28.5,9,8,3,1
0df5832d31f317b9af982469628dc775,"LYNYRD SKYNYRD",28.5,20,13,7,0
538a6cedab8bd2ffc11d261181e9c3ad,"ADELE",28,3,3,3,2
680cb04d4a9fb83db59995b3c474f3a6,"BEE GEES",28,15,9,2,1
919089e63141e0386107994093939a1b,"CREEDENCE CLEARWATER REVIVAL",28,13,9,6,1
ecbeffd993cd9b152a403486b63841fb,"MANNHEIM STEAMROLLER",28,18,8,4,0
86013932d3f85f70829e0d6e64ac45a1,"MICHAEL BOLTON",28,9,7,6,0
3a77b2ffcc66a0a91dfc49f98d5da770,"N SYNC",28,4,4,4,2
4ee18966b7a157c786b31b6fddbdd2a3,"NIRVANA",28,8,8,3,1
3776d96ec641ee463302a615797f652e,"BARRY MANILOW",27.5,24,13,6,0
5761b517114146d51fe9338b267bcddd,"BROOKS & DUNN",27.5,12,11,6,0
e92092e544df410e599e8264d1c0fdb4,"JAY-Z",27.5,14,13,8,0
b6dc04c349e5a95cdfb2f9312923d29b,"JOHN MELLENCAMP",27.5,15,12,5,0
b14e3360270c730ef4996379c4eb95a7,"BOYZ II MEN",27,7,5,4,1
aa44507475a698d27aaa46b3f668a68a,"FRANK SINATRA",27,34,10,4,0
611a9d8d5e209ca538d9069c5ee05f1c,"ENYA",26.5,9,8,5,0
14658cc1ba0d6f280f2e0af83df6436d,"JANET JACKSON",26,8,8,6,0
542d8cc76deab03dcafdebc7051d1c65,"RUSH",26,24,14,3,0
f42ae4d8483bec853eccb74806a17bae,"DRAKE",25.5,8,7,5,0
43b1fdebb7efcea95869af8b17d83731,"FAITH HILL",25.5,7,6,6,0
d935a0139f2308bc9dd6d02838420a68,"LUTHER VANDROSS",25.5,19,16,7,0
2245d94539c34833898ef67ea859f70e,"STEVE MILLER BAND",25.5,10,5,3,1
f5660c5026e1e1f759baf47f511a0f00,"CREED",25,4,4,4,1
c2371797a2838eef4e5c7a6e30cd620d,"HOOTIE & THE BLOWFISH",25,3,3,2,1
036358b2ee7fe655891b84a4c999e090,"MOTLEY CRUE",25,12,8,5,0
d94743a9fef34c10e0bb4d0101347946,"RED HOT CHILI PEPPERS",25,10,8,6,0
ccbca5be79a37e40237fd67a028b1070,"TOBY KEITH",25,18,12,5,0
579ca2a37ec77e0f31af0213854db696,"ZZ TOP",25,11,7,4,1
2d73ac0ea1b6cedd3cfae81c862caf8d,"R.E.O. SPEEDWAGON",24.5,13,8,4,1
5bdab3a94bda57eabba24f3642c2778f,"THE CARPENTERS",24.5,13,8,6,0
fe0af94a79724db591e4dc04cdaeffa6,"GREEN DAY",24,9,7,4,1
ddb6819dbed9d939442252d0f0371d00,"KANYE WEST",24,9,7,7,0
